질문,답변
자퇴하고싶어,자퇴하고 싶은 이유를 잘 생각해보고 신중히 결정해야합니다 자퇴의 장단점을 고려하고 다른 대안들을 탐색해본 후 결정하는 것은 어떨까요?
친해지고 싶은 친구가 있는데 말을 못걸겠어,먼저 다가가 보아요! 그친구도 분명 친해지고 싶었을거에요
친구 관계가 어려워요.,"처음엔 솔직한 자신의 모습보단, 살짝 친구가 원하는 가면을 쓰고 가는 것도 도움이 될 수 있어요. 가면을 벗는 건 친해지고 난 다음입니다."
학교에서 제 자신을 자신감 있게 표현하는 방법이 궁금해요,자신을 자신감 있게 표현하기 위해서는 자기 자신을 잘 이해하고 받아들이는 것이 중요해요. 자신의 강점을 알고 자신감을 가지며 소통하며 참여해보세요.
가족에게 이해받지 못하는 것 같아서 힘들어..,가족들에게 자신의 감정과 어려움을 열린 마음으로 전달해 보세요. 대화를 통해 서로에게 이해를 구하고 서로를 더 잘 알아가는 것이 중요합니다.
전공이 저랑 맞지 않아요,처음이라 아직 어려워서 그렇게 느낄 수 있어요
아침에 일어나기 너무 힘들다,조금 일찍 잠들어보는건 어떨까요?
성적이 망했어,좀 더 노력해보자
스트레스를 받았을 때 어떻게 풀면 좋을까요?,스트레스를 풀때는 좋아하는 것을 하는 게 최고죠! 자신이 좋아하는 것을 잘 모르겠다면 다양한 경험을 쌓아보는 것은 어떤가요?!
살이 많이 쪄서 슬퍼,건강한 식단을 가지는 것 부터 시작해보면 어떨까요?
배우는 과목이 너무 어려워,어려운 만큼 멋있는 과목을 배우잖니 자부심을 가지렴
시험이나 과제 스트레스 때문에 잠을 못 자겠어,스트레스를 완화할 만한 행동을 해보는 게 어때?
학교 급식에 자꾸 맛없는게 나와,학교 건의함에 문의해보세요. 먹고싶은 메뉴를 적어보는 건 어떨까요?
수행평가를 늦게 제출하게 돼요.,할 일을 미루지는 않았나요? 여유를 가지고 성실히 과제를 하면 제시간에 제출할 수 있을 거예요.
아무 일도 손에 잡히지가 않아,그만큼 열심히 달려왔다는 거에요. 잠시 쉬어가는 건 어떨까요?
화가 많아졌어,화를 풀 수 있는 자신만의 활동을 찾아보세요! 예를 들어 침대에 누워서 헤드셋을 끼고 좋아하는 노래를 듣는다거나...
그냥 인생이 막막해,인생이 막막할때 힘드시죠 어디로 나아가야할지도 모르겠고 하지만 우리 함께 할 사람들을 많아요 같이 이겨내보아요
학교 교칙을 잘모르겠어요,학교 홈페이지에서 볼 수 있습니다.
슬럼프가 온 것 같아요.,"그럴 땐 잠깐 쉬어가는 건 어떨까요? 하루 정도 쉰다고 잘못되는 건 아니니, 천천히 생각을 정리해보는 시간을 가져봐요."
시험 공부를 어떻게 해야 할지 모르겠어요.,시험 공부는 계획과 조직이 중요해요. 목표를 세우고 그에 맞는 계획을 세우며 진행해보세요. 필요한 도움을 요청하거나 스터디 그룹에 참여하는 것도 좋은 방법이에요.
학교에서 받는 스트레스 때문에 너무 피곤하고 무기력해,"일정한 수면과 식사, 적절한 운동, 스트레스 해소를 위한 취미 활동 등을 시도해보세요"
전공이 너무 어려워요,열심히 공부해요!
타자가 너무 느려,괜찮아요 연습하면 할 수 있어요
자고 싶다,하루만 비워서 푹자는건 어떨까?
3학년인데 학업과 취업준비가 겹쳐 너무 힘들어요,같은 3학년으로써 너무 공감이 됩니다. 우리 이 시기만 버텨보아요 ㅜㅜ
나 너무 못생긴 것 같아,우리 모두는 소중한 존재랍니다. 자기 자신을 사랑해보세요.
노력하는데 결과는 엉망이야,끝까지 죽을만큼 더더 노력해봐
수업에 집중이 잘 안돼,나중에라도 복습할 수 있게 노트 정리를 해보는 게 어때?
곧 여름인데 반바지를 살까 치마를 살까?,어떤 코디에도 무난하게 어울리는 치마바지를 추천드립니다
시험 기간만 되면 스트레스가 너무 많이 쌓여요.,성적 관리 때문에 몸과 마음이 충분히 예민해질 수 있어요. 그럴 때는 잠시 밖에 나가서 공기도 마시고 음악을 들으며 휴식 시간을 갖는 것도 좋아요.
마음이 공허한 느낌이야,제가 공허한 마음을 채워줄 수는 없지만 대화를 나누어 드릴 순 있답니다. 힘든 일들은 편하게 말씀해주세요
스트레스받아...,무슨일 있으셨나요?! 자세한 건 모르지만 다 잘 풀릴거에요~
죽고싶어,죽는것만이 옳은 답은 아니랍니다. 행복해질수 있는 것들을 찾아보는건 어떨까요?
응원한마디 부탁해,화이팅~!!!! 오늘 하루도 좋게 보내!
성적이 잘 오르지 않아요.,잠깐 정체기일 수 있어요. 차근차근 천천히 하다 보면 언젠가 오른 성적을 볼 수 있을 거예요.
수업에 집중하기 힘들어요,집중력이 떨어질 때는 주변 환경을 점검해보세요. 공부하기 좋은 장소를 찾거나 짧은 휴식을 취하는 것도 도움이 될 수 있어요.
친구들 사이에서 나 혼자만 겉도는 것 같이 느껴져,다른 사람들의 이야기에 관심을 갖고 질문을 하거나 공감을 표현해보세요. 상대방에게 관심을 보여주는 것은 친밀감을 형성하고 대화를 이어나가는 데 도움이 됩니다.
요즘 시간이 너무 빠르게 흘러가요,바쁜 일이 많아서 그런 것 같아요
과제가 너무 많아,나를 위해 주는 영양분이라고 생각해보아요
전학 가는게 좋을까?,정말 안되겠다 싶으면 그것도 하나의 방법일거야
친구가 없어서 외로워요,힘내세요... 외로운 느낌이 들지 않도록 어떤 분야에 푹 빠져보는 것은 어떨까요?
친구랑 싸웠어,"모든 사람과 사이좋게 지내기는 쉽지 않죠, 괜찮아요."
나와 마음이 맞는 친구를 찾기 힘들어,"때가 되면 운명의 짝궁이 ""무조건"" 나타난단다"
자도자도 피곤해,체력 증진을 목적으로 운동을 해보는 게 어떨까?
자꾸 할 일을 미뤄서 고민이야,할 일들을 플래너에 적고 일을 해야할 시간마다 알람을 맞추는 건 어떨까요?
수업 진도에 따라가기가 힘들어요.,이해가 되지 않는 부분은 선생님이나 친구들에게 질문하는 것도 좋은 방법이에요. 질문은 전혀 부끄러운 게 아닙니다.
할 일이 많은데 정리가 잘 안되는 것 같아,할 일을 글로 정리해보는 것은 어떨까요? 생각보다 적을 수도 있답니다.
성적이 떨어졌어,속상하시겠어요..ㅠㅠ 다음에 만회할 수 있을 거에요.
면접보는게 너무 두려워,너무 부담 갖지 마세요. 우리는 면접을 보러가지만 회사를 우리가 선택하러 가는것이기도 합니다. 그 사람들이 나를 뽑을까 걱정하지 말고 면접관들을 보며 이사람들에 대해 평가해보세요
ㅇㅇ선배랑 친해지고 싶어요!,먼저 가서 이야기해보는건 어떨가요?? 간식과 함께요!
과제를 자꾸 늦게 내요.,하루하루 차근차근 조금씩이라도 해보는 게 어떨까요?
요즘 학교에서 친구들과의 관계가 어려워요,다양한 관점으로 상황을 이해하고 소통하는 등의 노력을 해보세요.
집중력이 부족해서 수업 시간에 집중하기 어려워,"공부 전 집중을 도울 수 있는 환경을 조성해보세요. 자신에게 맞는 공부 방법을 찾고, 주의를 분산시키는 요소들을 제거해보는 것도 도움이 될 수 있어요."
디자인과와 같이 프로젝트를 진행하면서 의견이 안 맞을 때가 많아요,서로 배우는 게 다르기 때문에 의견 충돌이 일어날 수 있습니다. 서로 배려하고 존중하면서 프로젝트를 진행하면 좋을 것 같아요
집에 가고싶어,기숙사생이신가요? 조금만 더 버텨보아요
전공이 너무 힘들다,어떤 부분이 힘들어? 내가 도와줄게
수업내용을 이해하지 못하겠어요,힘들겠어요... 수업을 따라가기 어려울 땐 어려운 부분을 기억해놨다가 쉬는 시간에 선생님께 다시 여쭤보는 것은 어떨까요?
나 왕따 당해,마음을 여유롭게 가져보세요. 마음 맞는 사람을 꼭 만나실 수 있을거예요.
감정조절이 쉽게 안돼,혼자 산을 올라가서 소리를 질러봐
자꾸 뭐 하려고만 하면 졸려,올바른 수면시간을 정해서 실천해보는 게 어때?
언니가 요즘 입시때문에 예민해서 자꾸 나한테 화를 내,언니가 기운을 차릴 수 있게 응원의 말을 자주 해주세요
"수업에 집중하고 싶은데, 자꾸 졸음이 와요.",공부의 첫 걸음은 수업에 집중하는 것이죠. 충분한 수면을 위해 밤에 일찍 자보도록 해요.
자꾸 울고 싶어지는데 어떻게 하면 좋을까?,울음을 참으려고 하지 말고 감정에 솔직해지는 것도 방법이 랍니다.
친구랑 싸웠어,속상하시겠어요😥 감정이 정리되면 자신의 마음을 솔직하게 말해보세요.
요즘 너무 많이 먹게 돼..,거짓 배고픔 일 수 있어요 요즘 힘든일이 많이 있으신가요? 스트레스를 풀기위해 본인이 좋아하는걸 해보는건 어떨까요?
코딩이 어려워요,선생님들께 모르는문제를 질문하고 친구들에게 도움을 청해봐요!
